,Year,albania_avg,bulgaria_avg,Bosniaherzegovina_avg,Croatia_avg,Greece_avg,Montenegro_avg,NorthMacedonia_avg,Romania_avg,Serbia_avg,Slovenia_avg
0,2006,44462861.6,13890010.0,28521622.8,74123558.6,17623802.0,67535855.8,12418346.0,35140528.8,12769714.2,24470495.0
1,2011,39989157.0,8704286.8,42275197.8,59103570.4,19492306.2,78846595.6,16285633.2,23031949.8,16106803.8,29337126.6
2,2016,18393925.6,13121707.8,21706924.0,68007664.4,16952698.0,63363282.4,15969650.2,35572071.4,12264543.6,28758305.4
3,2021,23886713.6,11489101.8,13864516.6,87062545.8,15582231.4,65542860.6,19420422.4,22106591.0,13589211.2,29832279.4
